rank,rank_change,prev_rank,country,player,member_id,points,tournaments,profile_link
139,3,142,AUT,Adi PRATAMA,32326,12670,10,https://bwf.tournamentsoftware.com/player-profile/0A2D26D5-89E4-4E57-85F2-7AAA9D7B8985
140,4,144,MAS,LIM Chi Wing,93857,12590,8,https://bwf.tournamentsoftware.com/player-profile/885E44A4-D177-4296-976F-D772A13109F3
141,4,145,SLO,Alen ROJ,79391,12539,15,https://bwf.tournamentsoftware.com/player-profile/1E41FBF8-071C-4728-94FF-6DB3A6F76B22
142,6,148,KOR,HEO Kwanghee,68718,12420,6,https://bwf.tournamentsoftware.com/player-profile/DB414FF3-02AD-43ED-9647-752E4DE690A2
143,6,149,ESP,Ernesto VELAZQUEZ,54432,12257,12,https://bwf.tournamentsoftware.com/player-profile/B65FFC75-C2D3-414D-99F2-C0EBC6FD4A34
144,6,150,CHN,GUO Kai,83303,12250,6,https://bwf.tournamentsoftware.com/player-profile/94A49816-6571-4431-B37B-D21B770D1918
145,6,151,INA,Simon SANTOSO,51599,12110,7,https://bwf.tournamentsoftware.com/player-profile/9C5D7BA0-3A42-4DCC-A7F6-1154489631B7
146,0,146,TPE,Kuo PO CHENG,74445,12100,9,https://bwf.tournamentsoftware.com/player-profile/475E7E56-9DA2-414A-9CE5-CFC2C60DCE87
147,0,147,INA,Riyanto SUBAGJA,65705,12100,8,https://bwf.tournamentsoftware.com/player-profile/69F58D3F-6D0B-4FC5-8161-CA64104593EC
148,4,152,MEX,Luis Ramon GARRIDO,97943,12030,10,https://bwf.tournamentsoftware.com/player-profile/20A85CE7-FC4D-406B-8177-B869D6D9C9CA
149,4,153,CHN,GAO Huan,93496,11980,4,https://bwf.tournamentsoftware.com/player-profile/00D2D216-A789-4AF5-B24B-E4FE814BA772
150,-7,143,THA,Khosit PHETPRADAB,29449,11730,7,https://bwf.tournamentsoftware.com/player-profile/AC44DF59-4D39-47F7-8BBE-DE8837956AD7
151,-19,132,INA,Evert SUKAMTA,69546,11710,8,https://bwf.tournamentsoftware.com/player-profile/4EDD4D26-ED47-40D6-B818-F306A41D98F4
152,3,155,SWE,Gabriel ULLDAHL,42705,11637,10,https://bwf.tournamentsoftware.com/player-profile/07B3D3F9-E9B5-4375-A7A3-7927545EEC1A
153,3,156,IRI,Farzin KHANJANI,76170,11450,11,https://bwf.tournamentsoftware.com/player-profile/35FA5A08-5015-44DF-B76B-AB95B68346C6
154,3,157,CHN,LIN Gui Pu,58500,11410,6,https://bwf.tournamentsoftware.com/player-profile/F6E846A1-3EB7-4E49-A438-5E16F4259D81
155,-22,133,SGP,LOH Kean Yew,76115,11290,10,https://bwf.tournamentsoftware.com/player-profile/64D7D22C-CE54-4C9A-8EC3-70D9C7CEED71
156,2,158,MEX,Job CASTILLO,93101,11207,9,https://bwf.tournamentsoftware.com/player-profile/A854613F-DD95-4821-A7C6-E0D3D2A87DF3
157,2,159,MAS,Nur Mohd Azriyn Ayub AZRIYN,70443,11200,7,https://bwf.tournamentsoftware.com/player-profile/AE26C502-372F-46A0-B3AD-EEB994B66EA1
158,2,160,TUR,Sİnan ZORLU,80148,11160,16,https://bwf.tournamentsoftware.com/player-profile/6BA4873F-C1B7-4529-8A8A-6DF0A5833BB5
159,-21,138,INA,Andre MARTEEN,67795,11150,10,https://bwf.tournamentsoftware.com/player-profile/6EB8F2E5-F1AA-443B-8190-0640480A0D7D
160,2,162,MAS,AI Wei Jian,85074,10830,12,https://bwf.tournamentsoftware.com/player-profile/5827B202-AA06-430F-A629-E13788AEC377
161,2,163,THA,Sitthikom THAMMASIN,58963,10800,7,https://bwf.tournamentsoftware.com/player-profile/E117B39B-809E-4008-98E5-60E612C0A410
162,2,164,FIN,Kalle KOLJONEN,92655,10750,19,https://bwf.tournamentsoftware.com/player-profile/2DDBA2CA-65A3-4A4A-B999-8A709A7A8E83
163,3,166,CHN,QIAO Bin,78828,10610,3,https://bwf.tournamentsoftware.com/player-profile/3DE4278B-CCA5-41A2-B0EE-65A4AB205FA3
164,-3,161,ITA,Giovanni GRECO,54314,10607,17,https://bwf.tournamentsoftware.com/player-profile/4B191E2D-AB32-464A-9917-E3127A0AEE77
165,2,167,TUR,Ramazan OZTURK,60570,10574,16,https://bwf.tournamentsoftware.com/player-profile/C1AC0C86-672F-4486-ABEB-1942005E690B
166,2,168,IND,Sourabh VERMA,25925,10330,7,https://bwf.tournamentsoftware.com/player-profile/E5384E08-D2A5-4913-A8C8-A04DE72085AB
167,2,169,SVK,Matej HLINICAN,50266,10276,14,https://bwf.tournamentsoftware.com/player-profile/3DB3802E-1729-44CD-B368-D3ACFDCE0E3E
168,-3,165,MAS,Jiann Shiarng CHIANG,11701,10250,15,https://bwf.tournamentsoftware.com/player-profile/C5667006-FE7B-472F-AF61-DE0219A5186C
169,1,170,SWE,Mikael WESTERBACK,85430,10230,13,https://bwf.tournamentsoftware.com/player-profile/482701EA-B372-4FE3-B36E-439813594026
170,1,171,CRO,Zvonimir DURKINJAK,52250,10216,13,https://bwf.tournamentsoftware.com/player-profile/E2C6E5B3-A514-4301-9023-EC31918DB6BC
171,1,172,TUR,Enis SESALAN,72548,10110,17,https://bwf.tournamentsoftware.com/player-profile/933F37CD-DD43-48B1-B452-68B8AE56CE26
172,1,173,POL,Mateusz DUBOWSKI,37432,10070,17,https://bwf.tournamentsoftware.com/player-profile/5B165064-2DBE-44DB-8B6E-C29F734BAF19
