rank,country/territory,player,change_+/-,win/lose,prize_money,points/tmts,link,member_id
1125,NED,Maureen ZEWALD,-1,1 - 1,0,210 / 1,https://bwfbadminton.com/player/94684/maureen-zewald,94684
1125,ISL,Katrin Vala EINARSDOTTIR,-1,0 - 1,0,210 / 1,https://bwfbadminton.com/player/91091/katrin-vala-einarsdottir,91091
1125,IND,Priya KONJENGBAM,-1,1 - 4,0,210 / 1,https://bwfbadminton.com/player/50322/priya-konjengbam,50322
1125,IND,B VENKATA RAMYA TULASI BAILUPUDI,-1,0 - 3,0,210 / 1,https://bwfbadminton.com/player/99401/b-venkata-ramya-tulasi-bailupudi,99401
1125,EGY,Aya EZZAT ABDELRAHIM,-1,1 - 1,0,210 / 1,https://bwfbadminton.com/player/99416/aya-ezzat-abdelrahim,99416
1125,TUR,Filiz HALBURCU,-1,5 - 4,0,210 / 1,https://bwfbadminton.com/player/91714/filiz-halburcu,91714
1125,SCO,Ciara TORRANCE,-1,6 - 11,0,210 / 1,https://bwfbadminton.com/player/92277/ciara-torrance,92277
1125,MAS,LIM Welnis Peiy Link,-1,0 - 5,0,210 / 1,https://bwfbadminton.com/player/83014/lim-welnis-peiy-link,83014
1125,EGY,Esraa MOHAMED HANY,-1,0 - 1,0,210 / 1,https://bwfbadminton.com/player/97596/esraa-mohamed-hany,97596
1125,EGY,Amira ASHRAF MAHMOUD ALY,-1,1 - 2,0,210 / 1,https://bwfbadminton.com/player/71825/amira-ashraf-mahmoud-aly,71825
1125,COD,Katembua ODIA,-1,0 - 3,0,210 / 1,https://bwfbadminton.com/player/75740/katembua-odia,75740
1125,PHI,Mariya Anghela SEVILLA,-1,3 - 12,$17.50,210 / 1,https://bwfbadminton.com/player/98946/mariya-anghela-sevilla,98946
1125,ISL,Alda Karen JONSDOTTIR,-1,3 - 9,0,210 / 1,https://bwfbadminton.com/player/73909/alda-karen-jonsdottir,73909
1125,CHN,WANG Xinyuan,-1,9 - 6,0,210 / 1,https://bwfbadminton.com/player/64844/wang-xinyuan,64844
1125,SUI,Nicole PERROUD,-1,5 - 6,0,210 / 1,https://bwfbadminton.com/player/86405/nicole-perroud,86405
1125,NED,Dorien LUPS,-1,3 - 11,0,210 / 1,https://bwfbadminton.com/player/90334/dorien-lups,90334
1125,NOR,Thea Kristina JOHANSEN,-1,4 - 13,0,210 / 1,https://bwfbadminton.com/player/66092/thea-kristina-johansen,66092
1125,ENG,Gemma WHITING,-1,1 - 1,0,210 / 1,https://bwfbadminton.com/player/65664/gemma-whiting,65664
1125,SWE,Malin ANDERSSON,-1,1 - 3,0,210 / 1,https://bwfbadminton.com/player/77036/malin-andersson,77036
1125,MAS,Sylvia Kavita KUMARES,-1,16 - 15,$212.50,210 / 1,https://bwfbadminton.com/player/80008/sylvia-kavita-kumares,80008
1125,NEP,Poonam GURUNG,-1,0 - 2,0,210 / 1,https://bwfbadminton.com/player/70413/poonam-gurung,70413
1125,GRE,Ioanna KARKANTZIA,-1,9 - 53,0,210 / 1,https://bwfbadminton.com/player/14148/ioanna-karkantzia,14148
1169,GRL,Sara Lindskov JACOBSEN,+56,1 - 2,0,200 / 2,https://bwfbadminton.com/player/81280/sara-lindskov-jacobsen,81280
1169,SWE,Madeleine PERSSON,0,3 - 4,0,200 / 2,https://bwfbadminton.com/player/94427/madeleine-persson,94427
1169,SGP,Jia Rong SITO,0,4 - 18,0,200 / 2,https://bwfbadminton.com/player/63404/jia-rong-sito,63404
1172,RUS,Anastasiia BOIARUN,-1,5 - 7,0,190 / 3,https://bwfbadminton.com/player/91650/anastasiia-boiarun,91650
1173,NOR,Anne KLYVE,-1,4 - 15,0,180 / 3,https://bwfbadminton.com/player/61749/anne-klyve,61749
1174,SLO,Nika ARIH,-1,35 - 36,0,170 / 2,https://bwfbadminton.com/player/56927/nika-arih,56927
1175,IND,Aastha SHARMA,-1,1 - 3,0,170 / 1,https://bwfbadminton.com/player/77107/aastha-sharma,77107
1175,NED,Madouc LINDERS,-1,25 - 25,0,170 / 1,https://bwfbadminton.com/player/65753/madouc-linders,65753
1175,UKR,Mariia STOLIARENKO,-1,2 - 3,0,170 / 1,https://bwfbadminton.com/player/64766/mariia-stoliarenko,64766
1175,UKR,Mariia KHOLODNA,-1,0 - 2,0,170 / 1,https://bwfbadminton.com/player/94138/mariia-kholodna,94138
