rank,country/territory,player,change_+/-,win/lose,prize_money,points/tmts,link,member_id
97,CHN / CHN,"LIU Xuan Xuan, XIA Yu Ting",-14,8 - 4,"$4,290.62","12,600 / 3","https://bwfbadminton.com/player/60567/liu-xuan-xuan,https://bwfbadminton.com/player/68753/xia-yu-ting","60567, 68753"
98,PER / PER,"Ines Lucia CASTILLO SALAZAR, Paula LA TORRE REGAL",0,7 - 10,$239.36,"12,460 / 7","https://bwfbadminton.com/player/79258/ines-lucia-castillo-salazar,https://bwfbadminton.com/player/95819/paula-la-torre-regal","79258, 95819"
99,BEL / BEL,"Lise JAQUES, Flore VANDENHOUCKE",0,17 - 11,$743.76,"12,410 / 10","https://bwfbadminton.com/player/96665/lise-jaques,https://bwfbadminton.com/player/65846/flore-vandenhoucke","96665, 65846"
100,GER / GER,"Lisa KAMINSKI, Hannah POHL",0,11 - 33,$543.75,"12,320 / 9","https://bwfbadminton.com/player/81374/lisa-kaminski,https://bwfbadminton.com/player/78338/hannah-pohl","81374, 78338"
101,DEN / DEN,"Alexandra BØJE, Sara LUNDGAARD",0,16 - 7,"$1,600.00","12,300 / 7","https://bwfbadminton.com/player/88779/alexandra-b%C3%98je,https://bwfbadminton.com/player/71690/sara-lundgaard","88779, 71690"
102,FRA / FRA,"Lorraine BAUMANN, Audrey MITTELHEISSER",0,23 - 30,"$4,782.50","12,090 / 6","https://bwfbadminton.com/player/94489/lorraine-baumann,https://bwfbadminton.com/player/68480/audrey-mittelheisser","94489, 68480"
103,AUS / MAS,"Joyce CHOONG, GOH Yea Ching",0,6 - 7,"$5,937.03","12,080 / 7","https://bwfbadminton.com/player/86543/joyce-choong,https://bwfbadminton.com/player/80672/goh-yea-ching","86543, 80672"
104,INA / INA,"Yulfira BARKAH, Nitya Krishinda MAHESWARI",+24,5 - 7,"$185,405.18","11,560 / 5","https://bwfbadminton.com/player/77784/yulfira-barkah,https://bwfbadminton.com/player/54272/nitya-krishinda-maheswari","77784, 54272"
105,RSA / RSA,"Michelle BUTLER-EMMETT, Jennifer FRY",-1,27 - 4,"$1,187.37","11,500 / 4","https://bwfbadminton.com/player/51335/michelle-butler-emmett,https://bwfbadminton.com/player/54729/jennifer-fry","51335, 54729"
106,JPN / JPN,"Miki KASHIHARA, Miyuki KATO",-1,11 - 10,"$5,336.26","11,480 / 5","https://bwfbadminton.com/player/92052/miki-kashihara,https://bwfbadminton.com/player/98494/miyuki-kato","92052, 98494"
107,INA / INA,"Cynthia Shara AYUNIDHA, Debora Rumate VEHRENICA",-1,4 - 7,"$1,246.88","11,160 / 6","https://bwfbadminton.com/player/96887/cynthia-shara-ayunidha,https://bwfbadminton.com/player/70481/debora-rumate-vehrenica","96887, 70481"
108,DEN / DEN,"Anne Katrine HANSEN, Marie Louise STEFFENSEN",-1,18 - 13,$0.00,"11,060 / 6","https://bwfbadminton.com/player/59426/anne-katrine-hansen,https://bwfbadminton.com/player/62973/marie-louise-steffensen","59426, 62973"
109,IND / IND,"Sanyogita GHORPADE, Prajakta SAWANT",-1,9 - 8,"$8,908.02","11,030 / 7","https://bwfbadminton.com/player/57564/sanyogita-ghorpade,https://bwfbadminton.com/player/28248/prajakta-sawant","57564, 28248"
110,NED / NED,"Debora JILLE, Imke VAN DER AAR",+10,18 - 14,"$2,034.00","10,960 / 6","https://bwfbadminton.com/player/67373/debora-jille,https://bwfbadminton.com/player/89732/imke-van-der-aar","67373, 89732"
111,TUR / TUR,"Cemre FERE, Ozge BAYRAK",-2,18 - 10,"$14,837.64","10,940 / 6","https://bwfbadminton.com/player/89027/cemre-fere,https://bwfbadminton.com/player/94762/ozge-bayrak","89027, 94762"
112,JPN / JPN,"Rira KAWASHIMA, Saori OZAKI",-2,14 - 9,"$5,323.60","10,920 / 4","https://bwfbadminton.com/player/99532/rira-kawashima,https://bwfbadminton.com/player/65638/saori-ozaki","99532, 65638"
113,IRL / IRL,"Sara BOYLE, Rachael DARRAGH",-2,19 - 36,$243.76,"10,790 / 9","https://bwfbadminton.com/player/73274/sara-boyle,https://bwfbadminton.com/player/80889/rachael-darragh","73274, 80889"
114,SWE / SWE,"Amanda HOGSTROM, Clara NISTAD",+13,7 - 6,"$3,219.38","10,530 / 5","https://bwfbadminton.com/player/42703/amanda-hogstrom,https://bwfbadminton.com/player/80474/clara-nistad","42703, 80474"
115,USA / USA,"Ariel LEE, Sydney LEE",+14,5 - 12,"$1,086.88","10,430 / 7","https://bwfbadminton.com/player/59441/ariel-lee,https://bwfbadminton.com/player/84770/sydney-lee","59441, 84770"
116,JPN / JPN,"Asumi KUGO, Megumi YOKOYAMA",-3,25 - 8,"$11,018.98","10,400 / 3","https://bwfbadminton.com/player/83347/asumi-kugo,https://bwfbadminton.com/player/86725/megumi-yokoyama","83347, 86725"
117,DEN / DEN,"Amalie MAGELUND, Freja RAVN",-3,12 - 7,$910.00,"10,180 / 6","https://bwfbadminton.com/player/95643/amalie-magelund,https://bwfbadminton.com/player/88933/freja-ravn","95643, 88933"
